"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"18","https://www.decathlon.com.tr/r/kadin-kosu-ayakkabisi-siyah-pembe-kiprun-ks900-2/_/R-p-341717?mc=8930711&c=S%C4%B0YAH_PEMBE_BEYAZ","kosu","Kiprun","4190","4.6","4","Kullanılan süre 1 hafta ya da daha az tarihinden beri","hafif ve yumuşak temaslı spor için gayet uygun",""
"18","https://www.decathlon.com.tr/r/kadin-kosu-ayakkabisi-siyah-pembe-kiprun-ks900-2/_/R-p-341717?mc=8930711&c=S%C4%B0YAH_PEMBE_BEYAZ","kosu","Kiprun","4190","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","çok rahat dayanıklı ürün",""
"18","https://www.decathlon.com.tr/r/kadin-kosu-ayakkabisi-siyah-pembe-kiprun-ks900-2/_/R-p-341717?mc=8930711&c=S%C4%B0YAH_PEMBE_BEYAZ","kosu","Kiprun","4190","4.6","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kısa koşularda konforlu ama ilk giydiğimde ki rahatlık 1 ay sonunda sanki kayboldu. Darbe emiciler azaldı gibi hissediyorum",""
"18","https://www.decathlon.com.tr/r/kadin-kosu-ayakkabisi-siyah-pembe-kiprun-ks900-2/_/R-p-341717?mc=8930711&c=S%C4%B0YAH_PEMBE_BEYAZ","kosu","Kiprun","4190","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Gerçekten harika bir ürün fiyat ve performans açısından eşime aldım çok memnun kaldı aynı zamanda ürünün hafif olması ve rahat olması çok hoşumuza gitti teşekkürler.",""
"18","https://www.decathlon.com.tr/r/kadin-kosu-ayakkabisi-siyah-pembe-kiprun-ks900-2/_/R-p-341717?mc=8930711&c=S%C4%B0YAH_PEMBE_BEYAZ","kosu","Kiprun","4190","4.6","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Eşim çok rahat ettiği için daha önce pembesini almıştım sarısının numarası Tepe Nautilus AVM Yoktu görünce tereddütsüz aldım",""
