SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,332071,https://www.decathlon.com.tr/p/cocuk-kumas-jimnastik-ayakkabisi-siyah/_/R-p-332071?mc=8643695&c=S%C4%B0YAH,jimnastik,Domyos,₺595,,252
2,332072,https://www.decathlon.com.tr/p/yetiskin-kumas-jimnastik-ayakkabisi-siyah/_/R-p-332072?mc=8645036&c=S%C4%B0YAH,jimnastik,Domyos,₺650,,110
3,171674,https://www.decathlon.com.tr/p/demi-point-jimnastik-ayakkabisi-bej/_/R-p-171674?mc=8489883&c=BEJ,jimnastik,Domyos,₺595,,448
4,160091,https://www.decathlon.com.tr/p/artistik-jimnastik-ayakkabisi-500-siyah/_/R-p-160091?mc=8382122&c=S%C4%B0YAH,jimnastik,Domyos,₺740,,687
