SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,327044,https://www.decathlon.com.tr/p/erkek-snowboard-ayakkabisi-siyah-snb-100/_/R-p-327044?mc=8872187&c=S%C4%B0YAH_BEJ,snowboard2,Dreamscape,₺6.250,,172
2,305901,https://www.decathlon.com.tr/p/yetiskin-snowboard-ayakkabisi-beyaz-snb-500/_/R-p-305901?mc=8773350&c=BEJ_BEYAZ,snowboard2,Dreamscape,₺9.950,,78
3,340037,https://www.decathlon.com.tr/p/erkek-all-mountain-snowboard-ayakkabisi-siyah-snb-500-single-dial/_/R-p-340037?mc=8893084&c=S%C4%B0YAH_YE%C5%9E%C4%B0L,snowboard2,Dreamscape,₺9.950,,33
4,X8620878,https://www.decathlon.com.tr/p/yetiskin-snowboard-baglamalari-siyah-nidecker-flow-nexus/_/R-p-X8620878?mc=8620878,snowboard2,Flow,₺9.390,,33
5,336603,https://www.decathlon.com.tr/p/erkek-freestyle-all-mountain-snowboard-baglamalari-siyah-snb-500/_/R-p-336603?mc=8668654&c=BEYAZ,snowboard2,Dreamscape,₺6.590,,140
