SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,353328,https://www.decathlon.com.tr/p/erkek-kayak-ayakkabisi-siyah-kirmizi-head-edge-110-hv/_/R-p-353328?mc=8976477,snowboard,Head,₺17.790,,23
2,354197,https://www.decathlon.com.tr/p/kadin-kayak-ayakkabisi-flex-80-beyaz-pst-500/_/R-p-354197?mc=8881347,snowboard,Wedze,₺9.350,,12
3,339445,https://www.decathlon.com.tr/p/erkek-kayak-ayakkabisi-900/_/R-p-339445?mc=8739611,snowboard,Wedze,₺11.200,,51
4,374408,https://www.decathlon.com.tr/p/erkek-kayak-ayakkabisi-haki-fischer-rc4-110-mv-boa/_/R-p-374408?mc=8970959,snowboard,Fischer,₺20.990,,1
5,X8845378,https://www.decathlon.com.tr/p/kadin-kayak-ayakkabisi-salomon-select-wide-70/_/R-p-X8845378?mc=8845378,snowboard,Salomon,₺7.590,,149
6,350326,https://www.decathlon.com.tr/p/erkek-kayak-ayakkabisi-flex-100-siyah-pst-500/_/R-p-350326?mc=8841609,snowboard,Wedze,₺9.350,,35
7,353326,https://www.decathlon.com.tr/p/erkek-kayak-ayakkabisi-gri-rossignol-alltrack-90-hv/_/R-p-353326?mc=8975871,snowboard,Rossignol,₺13.590,,33
8,375658,https://www.decathlon.com.tr/p/kadin-kayak-ayakkabisi-siyah-head-edge-85-hv/_/R-p-375658?mc=8973848,snowboard,Head,₺15.690,,4
9,353354,https://www.decathlon.com.tr/p/kadin-kayak-ayakkabisi-beyaz-rossignol-alltrack-70-hv/_/R-p-353354?mc=8976286,snowboard,Rossignol,₺13.590,,29
