"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","3","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Ayağı kuru tutuyor ama çok sıcak tutuğu söylenemez, koku yapıyor, ayağı kavraması ve karda buzda tutunması iyi, leke tutuyor ama dayanıklı",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Dış görünüşü iyi. Tabanı çok rahat diyemem. Yüzde 90 su geçirmiyor. Sıcak tutuyor. Kaymıyor. Gayet başarılı. 2 yıldan uzun süredir kullanıyorum gayet sağlam.",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Rahatlığı ve ayağınızı sıcak tutma özelliği yeterli oluyor zaten en az spor ayakkabı kadar rahat bir ürün kesinlikle tavsiye ediyorum",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","tavsiye ederim.",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürünu alalı 3 ay oldu. Genelde aldığım şeylerde en önce baktigim nokta rahatlık ve ayağıma uyumu olur . Bu sefer bu botun rengi ve class ligi. Beni cezbetti tabi diğer 1. Sıradaki önceliğim elbetteki karsiliyor.",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Soğuk ve su geçirmiyor oğlum çok memnun.",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok rahat ayakkabı",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Şık duruyor",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Firmanın tüm ürünlerini severek alıyorum",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","2","Kullanılan süre 7 ile 12 ay arası tarihinden beri","Ayakkabı iki saat kullanımdan sonra ayaklarda müthiş ağrı yapıyor. Araç kullanırken bile yürümüyorsun hareket etmiyorsun sadece araç kullanıyorsunuz iki üç saat sonra ağrı yapıyor ayaklarımı çıkarıp dinlendirmek zorunda kalıyorum.",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","1","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Askeri personelim arazide devamli farkli farkli bot kullaniyorum bottan fazlasiyla anlarim bu botu decatlon dan aldim disarda 3 saat giydikten sonra şiddetli agri yapti çok anlamsiz bir taban yapisi var özellikle manuel arac kullanirken işkence oluyor bot kusurlu sonradan fark etmemi bahane gostererek teslim almadilar degisim yapmadilar tavsiye etmiyorum...özellikle taban kısmı sert ve konforsuz...",""
"47","https://www.decathlon.com.tr/r/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0","outdoor_sporlar","Quechua","4250","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Bu ayarda bir botu, diğer markalarda 4 bin liradan ucuza alamazsınız..",""
