"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Güzel",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Uzun yürüyüşler için gayet ideal.",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","kaliteli ve rahat",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Doğada yürüyüş için aldım rahat bir ayakkabı",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Uzun kuru yürüyüşler için ideal cok rahat",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ayakkabıyı oğlum için aldım. Gayet rahat kullanıyor.",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Hafif",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","3","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","dış görünüşü çok iyi fakat numarası küçük geldi",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","hafif ve rahat bir Ürün fakar topuk kısmı sert olduğu için biraz ayağa vuruyor onun dışında güzel",""
"11","https://www.decathlon.com.tr/r/kadin-outdoor-ayakkabi-mavi-nh500-fresh/_/R-p-308263?mc=8786763&c=GR%C4%B0_MAV%C4%B0","outdoor_sporlar","Quechua","1850","4.7","5","Kullanılan süre 7 ile 12 ay arası tarihinden beri","Müthiş rahat…",""
