SIRA_NO,URUN_NO,LINK_AD,SPOR_DALI,MARKA,FIYAT,TUM_YILDIZ,TUM_YORUM,kullanilan_sure,genel_puan,yorum
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,"Görünüm ve tasarım başarısıyla, rahatlık ve şıklığı bir arada sunan mükemmel bir ürün..."
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5,Ürün elime Aras kargo sebebiyle ulaşmadı. Kargolarda aramama rağmen geri gitti dendi. 2 haftadır uğraşıyorum para iademi talep ediyorum.
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5,Ürün gerçekten fiyatına göre iyi. Eğer ayağınız taraklı ise bir beden kesinlikle büyük alınmalı. 36 giymeme rağmen değişim yapıp 37 isteyeceğim. Gayet sağlam duruyor. Ayağı tam olarak sarıyor. Üstelik rahat. Sadece çıkartması biraz sıkıntı ya.
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Ürün çok kaliteli tam kalıp işimi gördü baya ama giydikten sonra çıkarması aşırı zor onun dışında fiyatına göre çok kaliteli
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Çizme çok güzel binicilik için tam olması gerektiği gibi tam kalıp
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5,Ürün çok güzel sağlam ve duruşu şık zira benim boyumdan dolayı uzun geldi ve çıkarması biraz zor olduğu için üzülerek iade ettim
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,"Üzerinde çizikler vardı, kullanmam gerektiği için iade edemedim. Daha dikkatli paketleme yapılabilirdi. Binicilik için tercih ettim, fiyatına göre daha kaliteli olabilirdi yağmur çizmesi formunda bir ürün. Kolay giyinmek-çıkarmak için yarım numara büyük tercih edebilirsiniz"
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Baya sağlam ve dayanıklı
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 3 ile 6 ay arası tarihinden beri,5,Gayet güzel bir ürün
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,4,uzun süre giyilecekse uygun degil terletiyor ama kısa sürelik için çok kullanışlı
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Alt bacağınız kalınsa uygun değil. Örnek; 1.65 boy 65 kg ve alt bacağınız kalın ise giyemezsiniz.
1,324351,https://www.decathlon.com.tr/r/yetiskin-binici-cizmesi-siyah-100/_/R-p-324351?mc=8580765&c=S%C4%B0YAH,at_binicilik,Fouganza,1190,4.7,12,Kullanılan süre 7 ile 12 ay arası tarihinden beri,5,daha önce aldim kalitesi şahane
