SIRA_NO,URUN_NO,LINK_AD,SPOR_DALI,MARKA,FIYAT,TUM_YILDIZ,TUM_YORUM,kullanilan_sure,genel_puan,yorum
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 3 ile 6 ay arası tarihinden beri,5,Dayanikli kullanisli
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5,rahat
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 3 ile 6 ay arası tarihinden beri,5,"2 senedir kullanıyorum, sadece at binerken kullanıyorum, harici kullanacak kadar rahat değil ama amatör olarak at biniyorsanız ideal bir ürün."
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,"Öncelikle gerçek deri olması güzel. Rahat, dayanıklı, hafif, ortapedik."
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 1 yıldan daha fazla tarihinden beri,5,Binicilik için biçilmiş kaftan
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 1 hafta ya da daha az tarihinden beri,2,bence rahat degıldı yenı basladıysanız ıyı ama yoksa ıyı degıl
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Çok güzel çok kaliteli almanızı kesinlikle tavsiye ederim
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Ürünü kardeşimle beraber aldık. O çok memnun ve rahat olduğunu söylüyor. Binicilik için ideal. Denerken çok iyiydi. Stokta olmadığı için birini aldık diğerini de internet siparişi verdik. Sonra ben kardeşiminkini biraz kullanayım dedim çünkü bazı ayakkabılar ayağımı vuruyor. Sadece 20 dk dayanabildim. Yani benim ayak yapıma uymadı. Topuk kısmım biraz daha uzun. Babet de giyemeyen biriyim. Kardeşim hala memnun. Severek kullanıyor.
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Rahat be kullanışlıdır
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,5,Ürün rahat ve dayanıklı yumuşak bir derisi var aşırı sert değil
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 1 hafta ya da daha az tarihinden beri,5,Iyi
2,337647,https://www.decathlon.com.tr/r/yetiskin-binicilik-botu-siyah-deri-500/_/R-p-337647?mc=8758181&c=S%C4%B0YAH,at_binicilik,Fouganza,2190,4.5,618,Kullanılan süre 2 ile 8 hafta arası tarihinden beri,4,Lastik kısmı biraz sert daha önce kullandığım daha esnekti
