"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"2","https://www.decathlon.com.tr/r/yetiskin-snowboard-ayakkabisi-beyaz-snb-500/_/R-p-305901?mc=8773350&c=BEJ_BEYAZ","snowboard","Dreamscape","9950","4.8","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Tam bir fiyat performans ürünü. Kaliteli ve rahat",""
"2","https://www.decathlon.com.tr/r/yetiskin-snowboard-ayakkabisi-beyaz-snb-500/_/R-p-305901?mc=8773350&c=BEJ_BEYAZ","snowboard","Dreamscape","9950","4.8","3","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Ben 39 numara aldım, eşim 38 numara (24 cm). Çok küçük ve dar geldiler. İade ettim ve 40 veya 41 numara alacağım.

Bu botların bedenleri 38 - 23,5 cm ve 39 - 24,0 cm olarak işaretlenmişti. Bir veya iki beden büyük almanızı tavsiye ederim.",""
"2","https://www.decathlon.com.tr/r/yetiskin-snowboard-ayakkabisi-beyaz-snb-500/_/R-p-305901?mc=8773350&c=BEJ_BEYAZ","snowboard","Dreamscape","9950","4.8","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Denerken burun uçları parmağınızı sıkıyor gibi hissedebilirsiniz değiştirmeyin sonradan kendi ayak numaraniz oturuyor",""
