"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürün tasarımı gayet güzel fakat parmak kısmı dar ve sıkıyor",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","3","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Darbe emici bir ürün doğrudur ama kavraması sıkıntılı, ayak yayılıyor içinde",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","kullanisli estetik cok iyi",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Bir senedir kullanıyorum çok memnunum",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","1","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Dekatlon ilk defa şaşırttı normalde hiç bir şekilde ayakkabılarımda koku sorunu olmaz ama bu ayakkabıya her antrenmandan sonra sprey falan sıkmak zorunda kalıyorum. Çok fazla koku yapıyor malzeme kalitesinden sanırım.",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 7 ile 12 ay arası tarihinden beri","çok kaliteli sağlam,salonda zemini iyi tutuyor",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Çok rahat",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","İndirimden aldım tam bir fiyat performans konforu iyi",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 1 yıldan daha fazla tarihinden beri","Fiyata göre iyi",""
"6","https://www.decathlon.com.tr/r/yetiskin-basketbol-ayakkabisi-siyah-elevate-500-mid/_/R-p-326014?mc=8788073&c=SARI","basketbol","Tarmak","2890","4.6","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Salon sporlarına çok uygun",""
