"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Rahat, dayanaklı ve estetik bir ayakkabı.",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Oğlum için almıştım. Basketbol oynarken Çok rahat ettiğini ve hareketlerinin kolaylaştığını ifade etti. Tavsiye ederim güzel ve şık ürün.",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","oğluma aldık. çok rahat. hem antrenmanda hem de maçlarda giyiyor.",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Basketbol antrenmana sık sık giyiyordu sorun yok güzeldi",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Malzeme ve tasarım olarak oldukça başarılı. Günlğk kullanımda da rahat. Fiyat performans olarak çok iyi. Yoğun kullanımda bile dayanıklı.",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Oğlum çok sevdi nba logosunu özellikle 😀 2-3 senelik basketbolcu çocuklar için alınabilir",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Voleybol için aldım ben gayet guzel oyun anında kayma yapmıyor tozlandıgında azıcık kayıyo ama onuda zaten elinle yada suya bastıgında gecio hemen alın bence",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Oğlum çok beğendi bedeni tam oldu",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Başlangıç için yeterli, rahat bir ayakkabı",""
"5","https://www.decathlon.com.tr/r/cocuk-basketbol-ayakkabisi-siyah-beyaz-fast-900-low-1/_/R-p-348019?mc=8919403&c=BEYAZ","basketbol","Tarmak","2750","4.8","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Oğlum için aldım, parkede kullanıyor ve tutuculuğu çok iyi, bileklere baskı yapmıyor. Pg poziyonuna uygun",""
