"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Hoş bir rengi var, fiyat performans ürünü, muadil ürünlere göre bariz kalite farkı var.",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok kullanışlı",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","kesinlikle su almıyor",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Beklentiyi karşılayan bir ürün",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Güzel bir ürün",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Güzel renk ve işini iyi görüyor",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","1","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ÇİZMEYİ 1 AY BİLE GİYEMEDİM. NEDENİ ŞU; AYAĞIMA TAM OLMASINA RAĞMEN (HATTA ÖNDE BİRAZ BOŞLUK BİLE KALIYORDU) GİYERKEN VE ÇIKARIRKEN İNANILMAZ ZORLANDIM.
AYAĞIMA İÇİNE GEÇİRME VE GİYME İŞİNİ Bİ ŞEKİLDE ZOR DA OLSA YAPIYORDUM AMA İŞİM BİTİNCE AYAĞIMDAN ÇIKARMAKTA ÇOK ÇOK ZORLUK YAŞADIM HER SEFERİNDE.
YAĞMURLU BİR GÜNDE YİNE GİYDİM VE İŞİM BİTİP EVE GELDİKTEN SONRA AYAĞIMDAN ÇIKARMAYA ÇALIŞTIĞIMDA AYAK BİLEK KISMIMDA KALIYORDU. ÇOK DENEDİM ZORLANDIM ÇIKARAMAYINCA ELİME BIÇAĞI ALDIM VE AŞAĞIYA DOĞRU BİLEK KISMINA KADAR ÇİZMEYİ KESEREK ÇIKARMAK ZORUNDA KALDIM.
SONRA DA DİĞER EŞİYLE BERABER ÇÖPE ATTIM.
BURADAN ÜRÜNÜ TASARLAYIP TEST EDEN FİRMAYA SESLENİYORUM, HİÇ Mİ FARKINA VARMADINIZ ÜRÜNÜN BU KUSURUNUN??? VALLAHİ YAZIKLARIM OLSUN.",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Tam fiyat performans ürünü",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Çok rahat kesinlikle tavsiye",""
"3","https://www.decathlon.com.tr/r/kadin-kisa-yagmur-cizmesi-siyah-avcilik-ve-doga-gozlemi-100/_/R-p-344635?mc=8786293&c=BEJ_YE%C5%9E%C4%B0L","avcilik","Solognac","820","4.6","2266","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Güzel ürün kalıp olarak bir beden büyük tercih edebilirsiniz",""
