"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Müthiş rahatlık özellikle yoğun yağan yağmurlu günlerde rahat kullanımlı bir ürün",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürün beklentimi karşıladı.",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Avda kullanıyorum önerrim çok iyi ve şık ,çalılı araziye girmeden kullanin",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Çok kaliteli fiyatının karşılığını fazlasıyla veriyor.",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 yıldan daha fazla tarihinden beri","İki senedir kullanıyorum çok az derecede su aldığını düşünüyorum,tabanın kauçuk ve kalın olması her türlü zemini hissettirmiyor.
Evet üşütüyor olabilir çünkü kauçuk lastik sonuçta 
Yalıtım özelliğide yok yani,bu yüzden üşütmesi normal,25 kilometrelik engebeli arazi yürüyüşünde çizmeye yönelik bir yorgunluk oluşmuyor.üşütme sorunu olmasa emsalsiz bir ürün demek yersiz olmaz",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Tek kelime ile mükemmel.",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","2","Kullanılan süre 2 yıldan daha fazla tarihinden beri","2 yıl önce almıştım bu üründen çulluk avında ormanda kullandım çokta fazla kullanmadım toplasanız aralıklı olarak 100 saat falan kullanılmıştır.. yürüyüş esnasında çizmenin üste tarafı katlanıyor doğal olarak katlanan bölgelerden çizmenin üst tarafında çatlak ve açılma meydana geldi ve buradan su alıyor Garantisi de olmadığından dolayı artık kullanılamaz durumda yama vs yaptım ama nafile..Almayi düşünen arkadaşların bilgisine..",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","2","Kullanılan süre 7 ile 12 ay arası tarihinden beri","alınabilecek en kotu cizmelerden biri aşırı terletiyor ve buda pantolonun erken yipranmanasina ayakta kokuya neden oluyor bu fiyata alınabilecek çok iyi ürünler var",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 yıldan daha fazla tarihinden beri","ürünü yaklaşık 2 seneden önce aldım aktif olarak kullanıyorum genel olarak ıslak zeminlerde çalışıyorum Çok memnunum ama belli bir süre sonra 2 yılın sonunda su almaya başladı kısmı onun haricinde yırttık şu bu yok yenisini almak istiyorum ama maalesef stokta da yok 45 numara",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 yıldan daha fazla tarihinden beri","Decahlon bütün çizmeleri kaliteli ayağında ayakkabı oldugunu hissetmiyorum çok rahat",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","ben 25 yıllık kara avcısıyım decathlonu kötülemek değil amacım bütün ürünleri kaliteli ve kullanışlı yanlız aldığım bu çizme herşeyi ile çok güzel tek kusuru sabah beki ve akşam beki avında otururken acayip ayaklarım üşüyor resmen buz kesiliyor sadece alanların bilgisi olsun diye yorum yaptım ama diğer yönleriyle harika bir ürün tek kusuru soğuğu acayip hissedersiniz saygılarımla…",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","2","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürünü 2 defa avda kullandım. Malzeme kalitesi çok güzel ama Normal ayak numaram 42 ama bu botu 44 numara aldım buna rağmen giymesi bir dert çıkartması başka dert. 
Giymesinin haricinde de bacağı çok sıktığı için rahat değil. Kısaca parasının hakkı değil.
 Daha uygun fiyatlı modelde çizme boğazında kemerli ayar özelliği vardı o modeli site satışından
 kaldırdılar.",""
"17","https://www.decathlon.com.tr/r/erkek-uzun-yagmur-cizmesi-yesil-avcilik-ve-doga-gozlemi-500/_/R-p-187071?mc=8494287&c=KAHVERENG%C4%B0","avcilik","Solognac","4390","4.4","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Ürünün daha önce içi astarsız olanını almıştım dayanıklılığı ve rahatlığı çok güzel. Ürün görselde iç astarı kırmızı fakat gelen kahverengi kırmızı olsa daha güzel olurdu",""
