"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","1","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","su alıyor değişime gitti yeniside aynı",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","3","Kullanılan süre 1 hafta ya da daha az tarihinden beri","ürün güzel fakat sol ayağı vuruyor ayak kalıpları farklı ilk defa böyle bir sorun yasiyorum",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","valla taş gibi sapasağlam. ama tasarımı çok kaba gelmeye başladıkça bilemiyorum sizin zevkinize kalmış",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Güzel ve sağlam bir ürün. Bu üründen memnun kalmama ihtimaliniz yok denecek kadar az. Tek sorun yaşadığım kısım şu: Ertesi gün kargo seçeneğini seçmeme rağmen ertesi gün teslim edilmedi ve ertesi gün teslim için ekstra ödediğim 50TL iade de edilmedi, bu konu için onlara e-posta gönderdim ama birkaç kez cevap verdikten sonra cevap vermediler, sorunum da çözülmedi.",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","eşime aldım bayılarak aldım severek kullanıyo",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","3","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","aldığım en rahatsız bot. 
ayağı garip bir şekilde çok yoruyor. 
en ufak rüzgarda buz gibi oluyor. kesinlikle kalın çorapla giyilmesi gerekiyor.",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 3 ile 6 ay arası tarihinden beri","DAHA EVVEL 5 SENE KULLANDIM. AYAKKABI RAHATLIĞINDA. TEKRAR BİR ADET DAHA ALDIM",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","çok memnunum. sağlam duruyor. rahat. su da geçirmedi. fiyatı da iyi. 3 katı fiyatına olan markalı botlara bakıyordum bir sürü inceleme izledim vs, sonra saçma geldi. decathlona gittim, baktım, denedim, aldım. bi tane daha model vardı o daha da sağlam duruyordu ve malzemeleri daha az plastikti ama numarası yoktu. bu da gayet yeterli. renk seçimleri, abartısız logosu, genel tasarımı vs çok başarılı bence. memnunum. teşekkürler decathlon.",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","güzel",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Harıka",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Harıka",""
"12","http://decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-kahverengi-crosshunt-120/_/R-p-332944?mc=8645925&c=KAHVERENG%C4%B0","avcilik","Solognac","3850","4.5","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Güzel ayakkabı",""
