"URUN_NO","LINK_AD","SPOR_DALI","MARKA","FIYAT","TUM_YILDIZ","TUM_YORUM","YORUM_YILDIZ","YORUM_KULLANIM_SURESI","YORUM","YORUMUN_POLARITESI"
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","çok kullanışlı çok memnunum",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Beğenerek yeni aldım.Rahat şık su geçirmez ayaklarımıda kokutmazsa tamamdır.Tavsiye edilir.",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","mukemmel",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","4","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","çok beğendim..",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Eşimin eskiyen ve tabanı çıkan kışlık botunun yerine aldık. Hem rahat, hem pratik. Kolay kaymıyor ve su geçirmiyor. Yaklaşık 1 ay sonunda eşim çok memnun. Standart bedeninizden bir numara büyük alabilirsiniz.",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Kartepe Kuzuyayla’da 3-4 saatlik yürüyüş-kızakla kayma aktivitesinde kullandım. İçeri bir damla bile su almadı. Diz boyu kar olan alanda yürüyüş yapmama rağmen botun üst kısmı ıslanmadı bile. Tavsiye ederim.",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","4","Kullanılan süre 3 ile 6 ay arası tarihinden beri","Ürünü av için almadım. Günlük olarak giyiyorum gayet rahat ve malzemesi kaliteli. Renginden ötürü tarzı da kombinlere uyabiliyor. Motosikletle yağmurda kullanmama rağmen hiç su almadı. Kendi kendine kuruyor. Doğa yürüyüşü vb. aktivitelerde de güvenle kullanılabilir bence",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","2","Kullanılan süre 1 hafta ya da daha az tarihinden beri","Bir gün giydim ve trekking yaptım. Sabah uyandığımda üzerinde lekeler vardı, talimatları okudum ve herhangi bir temizleme işlemi yapmadan değişim talebi oluşturdum.",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Rahat ve kullanışlı, su geçirmiyor..",""
"7","https://www.decathlon.com.tr/r/erkek-su-gecirmez-deri-avci-botu-avcilik-ve-doga-gozlemi-crosshunt-110/_/R-p-340801?mc=8759438&c=KAHVERENG%C4%B0","avcilik","Solognac","3550","4.6","0","5","Kullanılan süre 2 ile 8 hafta arası tarihinden beri","Çok güzel severek giyiyorum",""
